Data,IOPS
2088,516091
2089,418176
2090,489083
2091,477899
2092,443672
2093,396522
2094,451517
2095,430149
2096,491973
2097,523282
2098,505043
2099,442230
2100,520937
2101,501444
2102,431666
2103,504728
2104,516458
2105,451862
2106,377873
2107,384377
2108,398684
2109,434049
2110,521001
2111,469737
2112,443204
2113,514074
2114,523786
2115,427679
2116,514054
2117,527562
2118,495728
2119,460542
2120,511632
2121,510727
2122,448029
2123,534882
2124,521983
2125,509580
2126,452090
2127,531458
2128,495979
2129,434774
2130,522046
2131,524851
2132,490352
2133,445340
2134,529765
2135,529356
2136,413113
2137,530326
2138,524110
2139,485419
2140,445750
2141,523779
2142,533912
2143,430511
2144,534610
2145,532298
2146,502741
2147,463825
2148,517366
2149,536633
2150,410564
2151,537012
2152,531804
2153,478211
2154,449209
2155,476854
2156,392492
2157,398301
2158,536029
2159,503580
2160,464306
2161,537776
2162,540797
2163,441293
2164,514576
2165,513886
2166,506619
2167,484668
2168,539210
2169,535582
2170,436374
2171,522164
2172,528274
2173,470153
2174,516402
2175,533454
2176,512265
2177,467157
2178,538230
2179,524239
2180,409867
2181,536743
2182,540152
2183,493099
2184,482897
2185,536578
2186,513869
2187,455625
2188,540127
2189,540681
2190,434696
2191,529457
2192,536545
2193,511296
2194,468563
2195,508726
2196,512270
2197,454160
2198,540208
2199,521795
2200,462233
2201,528147
2202,540886
2203,517829
2204,463142
2205,543880
2206,543243
2207,452402
2208,530412
2209,510964
2210,468558
2211,539084
2212,550112
2213,518522
2214,495624
2215,546334
2216,548149
2217,459092
2218,532827
2219,549421
2220,494278
2221,467510
2222,534867
2223,533349
2224,433022
2225,542617
2226,541909
2227,507937
2228,482502
2229,555362
2230,551475
2231,449907
2232,550839
2233,526514
2234,445899
2235,545029
2236,553506
2237,508571
2238,486342
2239,550623
2240,551534
2241,458939
2242,526600
2243,529509
2244,507428
2245,520073
2246,553039
2247,469534
2248,511921
2249,551212
2250,521159
2251,445443
2252,545516
2253,557535
2254,481141
2255,443583
2256,385035
2257,456827
2258,543494
2259,541753
2260,509204
2261,488105
2262,539471
2263,556443
2264,443643
2265,548041
2266,554387
2267,460566
2268,536107
2269,558908
2270,504714
2271,497339
2272,549310
2273,557572
2274,426794
2275,558296
2276,556547
2277,465749
2278,558511
2279,559195
2280,526085
2281,445369
2282,548334
2283,562052
2284,437858
2285,562185
2286,553511
2287,496634
2288,560112
2289,492926
2290,511206
2291,520398
2292,555461
2293,562148
2294,460828
2295,548282
2296,553440
2297,503276
2298,537205
2299,567234
2300,535444
2301,499447
2302,561806
2303,541106
2304,458416
2305,551027
2306,562274
2307,511768
2308,521452
2309,548521
2310,568937
2311,453814
2312,556599
2313,509943
2314,486349
2315,553656
2316,566786
2317,524695
2318,507943
2319,567993
2320,569074
2321,453356
2322,522021
2323,570285
2324,482919
2325,568015
2326,572103
2327,528840
2328,522336
2329,569173
2330,565136
2331,465437
2332,571779
2333,552726
2334,515756
2335,535133
2336,577889
2337,566038
2338,494250
2339,546994
2340,571401
2341,484890
2342,568888
2343,572357
2344,509233
2345,528808
2346,577136
2347,552014
2348,446006
2349,571616
2350,563941
2351,519696
2352,528302
2353,576645
2354,556804
2355,485607
2356,551989
2357,569778
2358,482297
2359,548337
2360,560970
2361,497555
2362,560419
2363,580761
2364,558232
2365,490399
2366,568572
